Month,ng_rigs,oil_rigs
Apr 2018,193,817
Mar 2018,188,799
Feb 2018,180,788
Jan 2018,187,750
Dec 2017,182,748
Nov 2017,173,738
Oct 2017,180,741
Sep 2017,187,752
Aug 2017,183,764
Jul 2017,189,765
Jun 2017,184,747
May 2017,178,714
Apr 2017,166,685
Mar 2017,154,634
Feb 2017,150,593
Jan 2017,140,542
Dec 2016,126,507
Nov 2016,117,462
Oct 2016,105,436
Sep 2016,91,416
Aug 2016,82,397
Jul 2016,88,359
Jun 2016,86,330
May 2016,86,320
Apr 2016,88,348
Mar 2016,93,384
Feb 2016,102,430
Jan 2016,133,510
Dec 2015,174,537
Nov 2015,194,566
Oct 2015,193,597
Sep 2015,198,650
Aug 2015,209,673
Jul 2015,216,649
Jun 2015,224,634
May 2015,223,662
Apr 2015,222,750
Mar 2015,250,857
Feb 2015,296,1050
Jan 2015,320,1362
Dec 2014,342,1539
Nov 2014,351,1573
Oct 2014,328,1596
Sep 2014,336,1592
Aug 2014,324,1578
Jul 2014,314,1560
Jun 2014,314,1545
May 2014,325,1530
Apr 2014,316,1515
Mar 2014,333,1466
Feb 2014,341,1424
Jan 2014,362,1403
Dec 2013,373,1396
Nov 2013,366,1384
Oct 2013,374,1364
Sep 2013,389,1364
Aug 2013,386,1388
Jul 2013,364,1396
Jun 2013,352,1404
May 2013,353,1407
Apr 2013,374,1374
Mar 2013,413,1339
Feb 2013,426,1332
Jan 2013,434,1318
Dec 2012,423,1358
Nov 2012,421,1385
Oct 2012,425,1407
Sep 2012,447,1409
Aug 2012,487,1423
Jul 2012,522,1419
Jun 2012,558,1409
May 2012,600,1373
Apr 2012,629,1329
Mar 2012,667,1307
Feb 2012,723,1261
Jan 2012,790,1208
Dec 2011,821,1177
Nov 2011,880,1125
Oct 2011,933,1077
Sep 2011,907,1063
Aug 2011,894,1055
Jul 2011,880,1014
Jun 2011,877,979
May 2011,878,948
Apr 2011,885,896
Mar 2011,884,830
Feb 2011,907,801
Jan 2011,909,793
Dec 2010,940,759
Nov 2010,950,723
Oct 2010,966,693
Sep 2010,977,668
Aug 2010,983,644
Jul 2010,971,591
Jun 2010,953,566
May 2010,960,541
Apr 2010,959,508
Mar 2010,933,471
Feb 2010,892,446
Jan 2010,822,433
Dec 2009,758,404
Nov 2009,734,362
Oct 2009,722,312
Sep 2009,704,293
Aug 2009,691,279
Jul 2009,675,245
Jun 2009,691,194
May 2009,723,187
Apr 2009,775,209
Mar 2009,867,225
Feb 2009,1037,271
Jan 2009,1215,328
Dec 2008,1380,391
Nov 2008,1498,426
Oct 2008,1542,422
Sep 2008,1585,417
Aug 2008,1581,397
Jul 2008,1543,380
Jun 2008,1510,383
May 2008,1478,375
Apr 2008,1461,358
Mar 2008,1444,343
Feb 2008,1426,331
Jan 2008,1421,321
Dec 2007,1468,338
Nov 2007,1451,341
Oct 2007,1435,321
Sep 2007,1475,302
Aug 2007,1492,306
Jul 2007,1486,285
Jun 2007,1483,283
May 2007,1464,282
Apr 2007,1461,285
Mar 2007,1461,282
Feb 2007,1466,266
Jan 2007,1440,270
Dec 2006,1431,281
Nov 2006,1414,288
Oct 2006,1441,288
Sep 2006,1429,305
Aug 2006,1417,316
Jul 2006,1379,298
Jun 2006,1376,285
May 2006,1373,261
Apr 2006,1337,259
Mar 2006,1305,244
Feb 2006,1321,209
Jan 2006,1228,242
Dec 2005,1220,247
Nov 2005,1228,253
Oct 2005,1256,217
Sep 2005,1236,210
Aug 2005,1227,206
Jul 2005,1226,170
Jun 2005,1208,146
May 2005,1170,150
Apr 2005,1163,171
Mar 2005,1118,186
Feb 2005,1083,192
Jan 2005,1075,178
Dec 2004,1064,180
Nov 2004,1077,183
Oct 2004,1068,171
Sep 2004,1073,166
Aug 2004,1063,170
Jul 2004,1041,170
Jun 2004,1011,164
May 2004,1007,156
Apr 2004,996,154
Mar 2004,968,164
Feb 2004,961,153
Jan 2004,955,143
Dec 2003,959,153
Nov 2003,952,158
Oct 2003,941,158
Sep 2003,936,154
Aug 2003,932,153
Jul 2003,924,153
Jun 2003,910,152
May 2003,864,167
Apr 2003,795,185
Mar 2003,767,171
Feb 2003,750,153
Jan 2003,718,132
Dec 2002,714,137
Nov 2002,683,146
Oct 2002,709,140
Sep 2002,736,122
Aug 2002,721,125
Jul 2002,716,133
Jun 2002,704,138
May 2002,690,134
Apr 2002,612,136
Mar 2002,617,144
Feb 2002,679,144
Jan 2002,725,141
Dec 2001,754,147
Nov 2001,825,174
Oct 2001,913,198
Sep 2001,972,220
Aug 2001,1032,219
Jul 2001,1058,219
Jun 2001,1050,219
May 2001,997,235
Apr 2001,957,247
Mar 2001,913,248
Feb 2001,898,237
Jan 2001,879,239
Dec 2000,854,242
Nov 2000,832,234
Oct 2000,842,212
Sep 2000,810,199
Aug 2000,779,206
Jul 2000,733,208
Jun 2000,677,201
May 2000,645,199
Apr 2000,609,196
Mar 2000,600,173
Feb 2000,616,147
Jan 2000,632,143
Dec 1999,636,161
Nov 1999,635,145
Oct 1999,601,137
Sep 1999,565,130
Aug 1999,527,111
Jul 1999,478,108
Jun 1999,434,124
May 1999,380,136
Apr 1999,371,125
Mar 1999,412,114
Feb 1999,425,117
Jan 1999,461,125
Dec 1998,491,155
Nov 1998,499,190
Oct 1998,519,214
Sep 1998,559,215
Aug 1998,565,226
Jul 1998,549,264
Jun 1998,585,267
May 1998,580,272
Apr 1998,591,291
Mar 1998,601,327
Feb 1998,589,380
Jan 1998,609,380
Dec 1997,648,361
Nov 1997,625,354
Oct 1997,602,390
Sep 1997,614,392
Aug 1997,581,409
Jul 1997,584,382
Jun 1997,577,396
May 1997,541,379
Apr 1997,526,373
Mar 1997,518,377
Feb 1997,492,356
Jan 1997,478,342
Dec 1996,489,361
Nov 1996,482,363
Oct 1996,499,328
Sep 1996,505,301
Aug 1996,488,297
Jul 1996,488,290
Jun 1996,471,298
May 1996,467,288
Apr 1996,446,286
Mar 1996,421,286
Feb 1996,411,283
Jan 1996,406,295
Dec 1995,427,325
Nov 1995,430,330
Oct 1995,414,332
Sep 1995,413,333
Aug 1995,399,327
Jul 1995,399,301
Jun 1995,352,301
May 1995,335,325
Apr 1995,336,328
Mar 1995,331,322
Feb 1995,375,326
Jan 1995,411,325
Dec 1994,447,354
Nov 1994,460,361
Oct 1994,467,342
Sep 1994,471,325
Aug 1994,433,320
Jul 1994,415,341
Jun 1994,408,331
May 1994,382,320
Apr 1994,398,314
Mar 1994,403,323
Feb 1994,405,337
Jan 1994,425,356
Dec 1993,426,425
Nov 1993,408,453
Oct 1993,411,441
Sep 1993,421,418
Aug 1993,390,397
Jul 1993,360,368
Jun 1993,327,350
May 1993,294,323
Apr 1993,270,320
Mar 1993,268,315
Feb 1993,334,311
Jan 1993,454,335
Dec 1992,509,397
Nov 1992,451,418
Oct 1992,399,392
Sep 1992,356,345
Aug 1992,331,334
Jul 1992,310,349
Jun 1992,260,343
May 1992,260,358
Apr 1992,251,370
Mar 1992,250,381
Feb 1992,277,378
Jan 1992,294,400
Dec 1991,308,469
Nov 1991,328,457
Oct 1991,330,433
Sep 1991,314,433
Aug 1991,326,451
Jul 1991,332,472
Jun 1991,342,483
May 1991,354,430
Apr 1991,374,469
Mar 1991,389,520
Feb 1991,405,564
Jan 1991,413,633
Dec 1990,460,643
Nov 1990,495,615
Oct 1990,469,588
Sep 1990,460,566
Aug 1990,466,506
Jul 1990,496,497
Jun 1990,495,498
May 1990,465,493
Apr 1990,447,484
Mar 1990,421,478
Feb 1990,412,492
Jan 1990,477,514
Dec 1989,517,541
Nov 1989,498,532
Oct 1989,482,493
Sep 1989,484,460
Aug 1989,438,437
Jul 1989,386,432
Jun 1989,357,423
May 1989,311,431
Apr 1989,322,427
Mar 1989,325,407
Feb 1989,347,392
Jan 1989,364,455
Dec 1988,397,507
Nov 1988,406,490
Oct 1988,377,518
Sep 1988,390,512
Aug 1988,335,565
Jul 1988,309,568
Jun 1988,309,554
May 1988,300,562
Apr 1988,316,567
Mar 1988,338,582
Feb 1988,375,575
Jan 1988,391,663
Dec 1987,403,746
Nov 1987,386,746
Oct 1987,377,727
Sep 1987,364,713
Aug 1987,352,626
